id,name,nationality,sex,date_of_birth
736041664,A Jesus Garcia,ESP,male,1969-10-17
532037425,A Lam Shin,KOR,female,1986-09-23
435962603,Aaron Brown,CAN,male,1992-05-27
521041435,Aaron Cook,MDA,male,1991-01-02
33922579,Aaron Gate,NZL,male,1990-11-26
173071782,Aaron Royle,AUS,male,1990-01-26
266237702,Aaron Russell,USA,male,1993-06-04
382571888,Aaron Younger,AUS,male,1991-09-25
87689776,Aauri Lorena Bokesa,ESP,female,1988-12-14
997877719,Ababel Yeshaneh,ETH,female,1991-07-22
343694681,Abadi Hadis,ETH,male,1997-11-06
591319906,Abbas Abubakar Abbas,BRN,male,1996-05-17
258556239,Abbas Qali,IOA,male,1992-10-11
376068084,Abbey D'Agostino,USA,female,1992-05-25
162792594,Abbey Weitzeil,USA,female,1996-12-03
521036704,Abbie Brown,GBR,female,1996-04-10
149397772,Abbos Rakhmonov,UZB,male,1998-07-07
256673338,Abbubaker Mobara,RSA,male,1994-02-18
337369662,Abby Erceg,NZL,female,1989-11-20
334169879,Abd Elhalim Mohamed Abou,EGY,male,1989-06-03
215053268,Abdalaati Iguider,MAR,male,1987-03-25
763711985,Abdalelah Haroun,QAT,male,1997-01-01
924593601,Abdalla Targan,SUD,male,1996-09-28
578032534,Abdel Aziz Mehelba,EGY,male,1988-12-10
890222258,Abdelati El Guesse,MAR,male,1993-02-27
803161695,Abdelaziz Merzougui,ESP,male,1991-08-30
189931373,Abdelaziz Mohamed Ahmed,SUD,male,1994-10-12
677622742,Abdelghani Demmou,ALG,male,1989-01-29
349871091,Abdelhafid Benchabla,ALG,male,1986-09-26
904808208,Abdelhakim Amokrane,ALG,male,1994-05-10
23564778,Abdelkader Chadi,ALG,male,1986-12-12
133974151,Abdelkadir Salhi,ALG,male,1993-03-19
189886442,Abdelkebir Ouaddar,MAR,male,1962-07-15
199516300,Abdelkhalek Elbanna,EGY,male,1988-07-04
570342175,Abdellatif Mohamed Ahmed Mohamed,EGY,male,1995-12-08
517007712,Abdelmajid El Hissouf,MAR,male,1992-09-23
512730813,Abdelmalik Lahoulou,ALG,male,1992-05-07
934545704,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,1987-10-09
514096508,Abdelraouf Benguit,ALG,male,1996-04-05
388896171,Abderrahmane Benamadi,ALG,male,1985-07-03
285603057,Abderrahmane Mansouri,ALG,male,1995-01-13
545134894,Abderrahmane Meziane,ALG,male,1994-03-07
64529046,Abdi Hakin Ulad,DEN,male,1991-06-14
917755766,Abdi Nageeye,NED,male,1989-03-02
184980926,Abdi Waiss Mouhyadin,DJI,male,1996-07-03
702606719,Abdoul Khadre Mbaye Niane,SEN,male,1988-08-20
259675127,Abdoulkarim Fawziya,CMR,female,1989-03-01
469953606,Abdoullah Bamoussa,ITA,male,1986-06-08
962468808,Abdoulrazak Issoufou Alfaga,NIG,male,1994-12-26
958967643,Abdul Khalili,SWE,male,1992-06-07
325809293,Abdul Omar,GHA,male,1993-10-03
152408417,Abdul Wahab Zahiri,AFG,male,1992-05-27
262868423,Abdulaziz Alshatti,IOA,male,1990-10-30
101781750,Abdulkadir Abdullayev,AZE,male,1988-07-17
5763609,Abdullah Abkar Mohammed,KSA,male,1997-01-01
969824503,Abdullah Alrashidi,IOA,male,1963-08-21
897549624,Abdullah Hel Baki,BAN,male,1989-08-01
153457,Abdullahi Shehu,NGR,male,1993-03-12
803368584,Abdullo Tangriev,UZB,male,1981-03-28
937153550,Abdulrahman Al Faihan,IOA,male,1986-06-24
746318262,Abdulrashid Sadulaev,RUS,male,1996-05-09
841446548,Abdulrazzaq Murad,QAT,male,1990-06-29
884912875,Abeku Gyekye Jackson,GHA,male,2000-04-12
146197583,Abhinav Bindra,IND,male,1982-09-28
884912136,Abigail Johnston,USA,female,1989-11-16
221052317,Abigel Joo,HUN,female,1990-08-06
157637514,Ablaikhan Zhussupov,KAZ,male,1997-01-10
78813419,Abraham Kipchirchir Rotich,BRN,male,1993-09-26
555457991,Abraham Naibei Cheroben,BRN,male,1992-10-11
877850429,Abraham Niyonkuru,BDI,male,1989-12-26
369092977,Abrar Osman,ERI,male,1994-01-01
602585498,Abubaker Haydar Abdalla,QAT,male,1996-08-28
140663745,Achraf Kharroubi,MAR,male,1990-09-25
507726155,Adam Batirov,BRN,male,1985-01-13
60265240,Adam Cwalina,POL,male,1985-01-26
256805041,Adam Decker,HUN,male,1984-02-29
275689888,Adam Dixon,GBR,male,1986-09-11
136977152,Adam Froese,CAN,male,1991-08-13
487206822,Adam Gemili,GBR,male,1993-10-06
236523132,Adam Imer,BRA,male,1989-08-18
682367963,Adam Kszczot,POL,male,1989-09-02
624366946,Adam Lundqvist,SWE,male,1994-03-20
394945344,Adam Marosi,HUN,male,1984-07-26
970243540,Adam Okruashvili,GEO,male,1989-01-01
765490473,Adam Pattantyus,HUN,male,1978-10-10
561951036,Adam Peaty,GBR,male,1994-12-28
785166259,Adam Sebastian Helcelet,CZE,male,1991-10-27
846863992,Adam Telegdy,HUN,male,1995-11-01
390173289,Adam Vella,AUS,male,1971-06-12
266751447,Adam Viktora,SEY,male,1996-09-06
983184686,Adam Wisniewski,POL,male,1980-10-24
184652432,Adam Yates,GBR,male,1992-08-07
983411298,Adam van Koeverden,CAN,male,1982-01-29
685532077,Adama Diatta,SEN,male,1988-08-14
222063859,Adama Jammeh,GAM,male,1993-06-10
46940649,Adas Juskevicius,LTU,male,1989-01-03
512592841,Adel Gholami,IRI,male,1986-02-09
302277635,Adel Mechaal,ESP,male,1990-12-05
216864827,Adel Mojallalimoghadam,IRI,male,1993-03-21
153013732,Adela Bruns,CZE,female,1987-02-05
123916473,Adela Hanzlickova,CZE,female,1994-05-04
325622113,Adelina Bogus,ROU,female,1988-09-04
518639420,Adelina Pastor,ROU,female,1993-05-05
457663778,Adelinde Cornelissen,NED,female,1979-07-07
259002430,Adeline Maria Gray,USA,female,1991-01-15
303297765,Adem Boudjemline,ALG,male,1994-02-28
993710181,Adenizia da Silva,BRA,female,1986-12-18
878847288,Adham Ahmed Saleh Kahk,EGY,male,1993-06-27
75289002,Adilbek Niyazymbetov,KAZ,male,1989-05-19
930618704,Adilson da Silva,BRA,male,1972-01-24
890593128,Aditi Ashok,IND,female,1998-03-29
456381770,Adlan Abdurashidov,RUS,male,1990-07-31
256936407,Adnan Maric,SWE,male,1997-02-17
637015297,Adrian Andres Puentes Perez,CUB,male,1988-07-03
787208883,Adrian Baches,BRA,male,1990-04-07
941631433,Adrian Blocki,POL,male,1990-04-11
839462979,Adrian Chacon,CUB,male,1988-12-10
284555275,Adrian Crisan,ROU,male,1980-05-07
366608701,Adrian Dziolko,POL,male,1990-02-22
679510102,Adrian Eduardo Goide Arredondo,CUB,male,1998-06-26
242818896,Adrian Edward Zielinski,POL,male,1989-03-28
400838338,Adrian Gavira Collado,ESP,male,1987-09-17
557196811,Adrian Gomboc,SLO,male,1995-01-20
653186701,Adrian Griffith,BAH,male,1984-11-11
217850967,Adrian Ignacio Carambula Raurich,ITA,male,1988-03-16
370799805,Adrian Juhasz,HUN,male,1989-11-18
714030791,Adrian Oquendo,CUB,male,1990-02-23
915726586,Adrian Portela,ARG,male,1986-03-08
80367651,Adriana Aparecida da Silva,BRA,female,1981-07-22
593328448,Adriana Araujo,BRA,female,1981-11-04
770039735,Adriana Diaz,PUR,female,2000-10-31
228337858,Adriana Martin,ESP,female,1996-04-12
529241363,Adriana Moises,BRA,female,1978-12-06
439382128,Adrien Bart,FRA,male,1991-09-04
326016199,Adrien Dipanda,FRA,male,1988-05-03
664737236,Adrien Niyonshuti,RWA,male,1987-01-02
447910544,Adrienne Martelli,USA,female,1987-12-03
835610998,Adzo Rebecca Kpossi,TOG,female,1999-01-25
26797739,Ae-Ri Noort,NED,female,1983-01-10
577601340,Afa Ismail,MDV,female,1993-11-01
16830155,Afaf Elhodhod,EGY,female,1996-10-01
508610852,Afef Ben Ismail,TUN,female,1994-03-17
477738986,Africa Zamorano Sanz,ESP,female,1998-01-11
998446972,Afrodite Zegers,NED,female,1991-12-02
42409524,Agata Forkasiewicz,POL,female,1994-01-13
28097741,Agatha Bednarczuk,BRA,female,1983-06-22
23462736,Ageze Guadie,ISR,male,1989-09-11
971796358,Aglaia Pezzato,ITA,female,1994-04-22
810258362,Agnes Osazuwa,NGR,female,1989-11-26
107504792,Agnes Raharolahy,FRA,female,1992-11-07
320335499,Agnese Pastare,LAT,female,1988-10-27
220410298,Agnete Kirk Thinggaard,DEN,female,1983-05-18
726686017,Agnieszka Dygacz,POL,female,1985-07-18
517578131,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,1983-03-22
120505360,Agnieszka Jerzyk,POL,female,1988-01-15
665715516,Agnieszka Kobus,POL,female,1990-08-28
935702937,Agnieszka Nagay,POL,female,1981-02-20
220520929,Agnieszka Radwanska,POL,female,1989-03-06
527420548,Agnieszka Skrzypulec,POL,female,1989-06-03
983479171,Agnieszka Szwarnog,POL,female,1986-12-28
638298176,Agustin Mazzilli,ARG,male,1989-06-20
833236523,Agustin Vidal,ARG,male,1987-07-08
794585269,Agustina Albertarrio,ARG,female,1993-01-01
441542780,Agustina Habif,ARG,female,1992-03-08
213448220,Ahmad Abughaush,JOR,male,1996-02-01
443237540,Ahmad Alafasi,IOA,male,1983-01-10
942902378,Ahmad Amsyar Azman,MAS,male,1992-08-28
684631479,Ahmad Hazer,LIB,male,1989-09-04
67793782,Ahmed Abdelaal,EGY,male,1989-06-08
935849614,Ahmed Abdelhay,EGY,male,1984-08-19
786273274,Ahmed Abelrahman,EGY,male,1996-05-26
672789779,Ahmed Afifi,EGY,male,1988-03-30
873200853,Ahmed Akram,EGY,male,1996-10-20
862822782,Ahmed Ali,SUD,male,1993-11-15
9418987,Ahmed Attellesey,LBA,male,1995-07-30
180751684,Ahmed Bader Magour,QAT,male,1996-03-03
364294388,Ahmed Darwish,EGY,male,1981-07-02
23970897,Ahmed El Kotb,EGY,male,1991-07-23
837684987,Ahmed El-Nemr,EGY,male,1978-11-21
635571670,Ahmed Elahmar,EGY,male,1984-01-27
64299896,Ahmed Gebrel,PLE,male,1991-01-22
215275770,Ahmed Goumar,NIG,male,1988-02-22
663592491,Ahmed Ibrahim,IRQ,male,1992-02-25
916701520,Ahmed Kamar,EGY,male,1986-09-19
114527133,Ahmed Mathlouthi,TUN,male,1989-12-18
205324342,Ahmed Mohamed,EGY,male,1996-04-08
162169475,Ahmed Mohamed,EGY,male,1988-04-27
739968078,Ahmed Mohamed Ibrahim Saad,EGY,male,1989-02-25
575397765,Ahmed Ragab,EGY,male,1991-09-29
101574216,Ahmed Saad,EGY,male,1986-11-01
105465611,Ahmed Shaban,EGY,male,1979-03-08
585852107,Ahmet Li,TUR,male,1991-01-12
696999235,Ahmet Orken,TUR,male,1993-03-12
47988332,Ahreum Na,KOR,female,1990-03-24
138385356,Ahymara Espinoza,VEN,female,1985-05-28
730862558,Ai Fukuhara,JPN,female,1988-11-01
488478701,Ai Kondo Yoshida,JPN,female,1980-11-05
975475720,Ai Ueda,JPN,female,1983-10-26
544308054,Ai Wen Yu,TPE,female,1995-12-27
696719880,Aiaal Lazarev,KGZ,male,1986-03-19
634178292,Aichen Wang,CHN,male,1985-03-28
537808926,Aida Fall,SEN,female,1986-11-10
155951731,Aida Mohamed,HUN,female,1976-03-12
531077009,Aida Roman,MEX,female,1988-05-21
750356217,Aida Shanaeva,RUS,female,1986-04-23
248085477,Aidan Roach,AUS,male,1990-09-07
743883365,Aika Hakoyama,JPN,female,1991-07-27
110469224,Aikaterini Nikolaidou,GRE,female,1992-10-22
823094336,Aikaterini-Maria Kontochristopoulou,GRE,female,1997-06-10
574808106,Aiko Hayashi,JPN,female,1993-11-17
676958658,Aiko Sugihara,JPN,female,1999-09-19
420613340,Aileen Reid,IRL,female,1982-06-15
172676108,Ailen Valente,ARG,female,1996-03-26
971329341,Ailly Luciano,NED,female,1991-03-25
356290857,Ailun Guo,CHN,male,1993-11-14
273034565,Aimee Fisher,NZL,female,1995-01-24
266091485,Aimee Willmott,GBR,female,1993-02-26
912490592,Aina Cid I Centelles,ESP,female,1994-09-01
674464910,Ainhoa Hernandez,ESP,female,1994-04-27
14183642,Ainhoa Murua,ESP,female,1978-07-18
871394696,Ainur Yesbergenova,KAZ,female,1998-02-11
635098552,Airi Hatakeyama,JPN,female,1994-08-16
965051843,Airine Palsyte,LTU,female,1992-07-13
840071617,Aisen Chen,CHN,male,1995-10-22
704825548,Aisha Praught,JAM,female,1989-12-14
704391947,Aislin Jones,AUS,female,2000-02-08
273177958,Aisuluu Tynybekova,KGZ,female,1993-05-04
191963338,Aitor Martinez Rodriguez,ESP,male,1993-08-22
678408880,Aivi Luik,AUS,female,1985-03-18
